offline_datapoint_0 1673819240 24,615
offline_datapoint_0 1673819243 24,624
offline_datapoint_0 1673819246 24,622
offline_datapoint_0 1673819249 24,623
offline_datapoint_0 1673819252 24,625
offline_datapoint_0 1673819255 24,603
offline_datapoint_0 1673819258 24,603
offline_datapoint_0 1673819261 24,603
offline_datapoint_0 1673819264 24,558
offline_datapoint_0 1673819267 24,565
offline_datapoint_0 1673819270 24,571
offline_datapoint_0 1673819273 24,574
offline_datapoint_0 1673819276 24,569
offline_datapoint_0 1673819279 24,568
offline_datapoint_0 1673819282 24,571
offline_datapoint_0 1673819285 24,570
offline_datapoint_0 1673819288 24,572
offline_datapoint_0 1673819291 24,571
offline_datapoint_0 1673819294 24,549
offline_datapoint_0 1673819297 24,570
offline_datapoint_0 1673819300 24,556
offline_datapoint_0 1673819303 24,558
offline_datapoint_0 1673819306 24,556
offline_datapoint_0 1673819309 24,561
offline_datapoint_0 1673819312 24,568
offline_datapoint_0 1673819315 24,548
offline_datapoint_0 1673819318 24,546
offline_datapoint_0 1673819321 24,545
offline_datapoint_0 1673819324 24,542
offline_datapoint_0 1673819327 24,544
offline_datapoint_0 1673819330 24,544
offline_datapoint_0 1673819333 24,548
offline_datapoint_0 1673819336 24,544
offline_datapoint_0 1673819339 24,545
offline_datapoint_0 1673819342 24,547
offline_datapoint_0 1673819345 24,545
offline_datapoint_0 1673819348 24,549
offline_datapoint_0 1673819351 24,556
offline_datapoint_0 1673819354 24,558
offline_datapoint_0 1673819357 24,558
offline_datapoint_0 1673819360 24,557
offline_datapoint_0 1673819363 24,552
offline_datapoint_0 1673819366 24,552
offline_datapoint_0 1673819369 24,551
offline_datapoint_0 1673819372 24,551
offline_datapoint_0 1673819375 24,536
offline_datapoint_0 1673819378 24,530
offline_datapoint_0 1673819381 24,540
offline_datapoint_0 1673819384 24,539
offline_datapoint_0 1673819387 24,533
offline_datapoint_0 1673819390 24,534
offline_datapoint_0 1673819393 24,539
offline_datapoint_0 1673819396 24,538
offline_datapoint_0 1673819399 24,537
offline_datapoint_0 1673819402 24,538
offline_datapoint_0 1673819405 24,541
offline_datapoint_0 1673819408 24,542
offline_datapoint_0 1673819411 24,539
offline_datapoint_0 1673819414 24,548
