22 1673818539 5,106644 0,200000 5,106644 5,106644 5,215563
77 1673818539 20,360068 0,200000 20,360068 20,360068 82,906473
80 1673818539 20,359904 0,200000 20,359904 20,359904 82,905137
44 1673818539 5,074898 0,200000 5,074898 5,074898 5,150918
80 1673818540 20,359904 0,200000 20,359904 20,359904 82,905137
22 1673818540 5,106644 0,200000 5,106644 5,106644 5,215563
77 1673818540 20,360068 0,200000 20,360068 20,360068 82,906473
44 1673818540 5,074898 0,200000 5,074898 5,074898 5,150918
80 1673818541 20,359904 0,200000 20,359904 20,359904 82,905137
22 1673818541 5,106644 0,200000 5,106644 5,106644 5,215563
77 1673818541 20,360068 0,200000 20,360068 20,360068 82,906473
44 1673818541 5,074898 0,200000 5,074898 5,074898 5,150918
37 1673818542 5,125511 0,200000 5,125511 5,125511 5,254172
37 1673818543 5,125511 0,200000 5,125511 5,125511 5,254172
37 1673818544 5,125511 0,200000 5,125511 5,125511 5,254172
37 1673818545 5,125511 0,200000 5,125511 5,125511 5,254172
37 1673818546 5,125511 0,200000 5,125511 5,125511 5,254172
16 1673818547 0,064039 0,200000 0,064039 0,064039 0,000820
16 1673818548 0,064039 0,200000 0,064039 0,064039 0,000820
16 1673818549 0,064039 0,200000 0,064039 0,064039 0,000820
19 1673818487 0,000152 0,200000 0,000152 0,000152 0,000000
19 1673818488 0,000152 0,200000 0,000152 0,000152 0,000000
19 1673818489 0,000152 0,200000 0,000152 0,000152 0,000000
19 1673818490 0,000152 0,200000 0,000152 0,000152 0,000000
19 1673818491 0,000152 0,200000 0,000152 0,000152 0,000000
16 1673818550 0,064039 0,200000 0,064039 0,064039 0,000820
16 1673818551 0,064039 0,200000 0,064039 0,064039 0,000820
16 1673818552 0,063020 0,200000 0,063020 0,063020 0,000794
22 1673818552 5,107018 0,200000 5,107018 5,107018 5,216328
41 1673818552 9,070935 0,200000 9,070935 9,070935 16,456372
16 1673818553 0,063020 0,200000 0,063020 0,063020 0,000794
22 1673818553 5,107018 0,200000 5,107018 5,107018 5,216328
41 1673818553 9,070935 0,200000 9,070935 9,070935 16,456372
22 1673818554 5,107018 0,200000 5,107018 5,107018 5,216328
16 1673818554 0,063020 0,200000 0,063020 0,063020 0,000794
41 1673818554 9,070935 0,200000 9,070935 9,070935 16,456372
16 1673818555 0,063020 0,200000 0,063020 0,063020 0,000794
16 1673818556 0,063020 0,200000 0,063020 0,063020 0,000794
22 1673818555 5,107018 0,200000 5,107018 5,107018 5,216328
22 1673818556 5,107018 0,200000 5,107018 5,107018 5,216328
41 1673818555 9,070935 0,200000 9,070935 9,070935 16,456372
41 1673818556 9,070935 0,200000 9,070935 9,070935 16,456372
83 1673818557 5,113139 0,200000 5,113139 5,113139 5,228837
89 1673818557 10,284628 0,200000 10,284628 10,284628 21,154713
22 1673818557 5,202635 0,200000 5,202635 5,202635 5,413482
53 1673818557 0,041152 0,200000 0,041152 0,041152 0,000339
86 1673818557 10,284324 0,200000 10,284324 10,284324 21,153463
83 1673818558 5,113139 0,200000 5,113139 5,113139 5,228837
89 1673818558 10,284628 0,200000 10,284628 10,284628 21,154713
22 1673818558 5,202635 0,200000 5,202635 5,202635 5,413482
53 1673818558 0,041152 0,200000 0,041152 0,041152 0,000339
86 1673818558 10,284324 0,200000 10,284324 10,284324 21,153463
83 1673818559 5,113139 0,200000 5,113139 5,113139 5,228837
89 1673818559 10,284628 0,200000 10,284628 10,284628 21,154713
22 1673818559 5,202635 0,200000 5,202635 5,202635 5,413482
53 1673818559 0,041152 0,200000 0,041152 0,041152 0,000339
86 1673818559 10,284324 0,200000 10,284324 10,284324 21,153463
83 1673818560 5,113139 0,200000 5,113139 5,113139 5,228837
89 1673818560 10,284628 0,200000 10,284628 10,284628 21,154713
22 1673818560 5,202635 0,200000 5,202635 5,202635 5,413482
53 1673818560 0,041152 0,200000 0,041152 0,041152 0,000339
86 1673818560 10,284324 0,200000 10,284324 10,284324 21,153463
83 1673818561 5,113139 0,200000 5,113139 5,113139 5,228837
89 1673818561 10,284628 0,200000 10,284628 10,284628 21,154713
22 1673818561 5,202635 0,200000 5,202635 5,202635 5,413482
53 1673818561 0,041152 0,200000 0,041152 0,041152 0,000339
86 1673818561 10,284324 0,200000 10,284324 10,284324 21,153463
16 1673818562 0,064922 0,200000 0,064922 0,064922 0,000843
94 1673818562 29,483446 0,200000 29,483446 29,483446 173,854722
97 1673818562 29,483732 0,200000 29,483732 29,483732 173,858085
44 1673818562 5,069716 0,200000 5,069716 5,069716 5,140405
37 1673818562 5,113217 0,200000 5,113217 5,113217 5,228998
16 1673818563 0,064922 0,200000 0,064922 0,064922 0,000843
94 1673818563 29,483446 0,200000 29,483446 29,483446 173,854722
97 1673818563 29,483732 0,200000 29,483732 29,483732 173,858085
44 1673818563 5,069716 0,200000 5,069716 5,069716 5,140405
37 1673818563 5,113217 0,200000 5,113217 5,113217 5,228998
16 1673818564 0,064922 0,200000 0,064922 0,064922 0,000843
94 1673818564 29,483446 0,200000 29,483446 29,483446 173,854722
97 1673818564 29,483732 0,200000 29,483732 29,483732 173,858085
44 1673818564 5,069716 0,200000 5,069716 5,069716 5,140405
37 1673818564 5,113217 0,200000 5,113217 5,113217 5,228998
19 1673818487 0,000149 0,200000 0,000149 0,000149 0,000000
19 1673818488 0,000149 0,200000 0,000149 0,000149 0,000000
19 1673818489 0,000149 0,200000 0,000149 0,000149 0,000000
19 1673818490 0,000149 0,200000 0,000149 0,000149 0,000000
19 1673818491 0,000149 0,200000 0,000149 0,000149 0,000000
16 1673818565 0,064922 0,200000 0,064922 0,064922 0,000843
94 1673818565 29,483446 0,200000 29,483446 29,483446 173,854722
97 1673818565 29,483732 0,200000 29,483732 29,483732 173,858085
44 1673818565 5,069716 0,200000 5,069716 5,069716 5,140405
37 1673818565 5,113217 0,200000 5,113217 5,113217 5,228998
